# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH7a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
   11   320     7   0.5  1.00  633  1.00  1.044   0.156  0.030  0.256 
   11   320     8   1.5  1.00  613  1.00  1.012   0.170  0.031  0.249 
   11   320     9   2.5  1.00  571  1.00  0.991   0.131  0.031  0.249 
   11   320    10   3.5  1.00  451  1.10  0.995   0.127  0.036  0.245 
   11   320    11   4.5  0.40  447  1.70  0.956   0.150  0.039  0.254 
   11   320    12   5.5  0.00  462  2.40  0.946   0.101  0.041  0.258 
   12   350     1  -5.5  0.00  460  2.30  1.157   0.071  0.034  0.207 
   12   350     2  -4.5  0.52  434  1.51  1.090   0.115  0.036  0.223 
   12   350     3  -3.5  1.00  463  1.00  1.033   0.167  0.034  0.233 
   12   350     4  -2.5  1.00  605  1.00  0.999   0.223  0.031  0.249 
   12   350     5  -1.5  1.00  568  1.00  1.003   0.254  0.034  0.262 
   12   350     6  -0.5  1.00  519  1.00  1.022   0.239  0.036  0.274 
   12   350     7   0.5  1.00  476  1.00  1.011   0.240  0.041  0.295 
   12   350     8   1.5  1.00  476  1.00  0.951   0.242  0.041  0.295 
   12   350     9   2.5  1.00  496  1.00  0.895   0.145  0.040  0.286 
   12   350    10   3.5  1.00  445  1.20  0.884   0.143  0.042  0.288 
   12   350    11   4.5  0.31  475  1.80  0.897   0.073  0.046  0.315 
   12   350    12   5.5  0.00  467  2.51  0.916   0.087  0.046  0.307 
