# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of FeOf06a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+24)
# 
    bin   fbin  N  year  DOY     LT        MJD   S27d          I 
  16470  0.820  1  2009  343  20.14  55175.035   73.8  7.325e+00 
  16471  0.820  1  2009  343  20.58  55175.053   73.8  9.119e+00 
  16473  0.694  1  2009  343  21.81  55175.104   73.8  1.256e+01 
  16711  0.820  1  2009  348  20.59  55180.053   74.4  4.387e+00 
  16854  1.000  3  2009  351  20.22  55183.038   74.8  1.329e+01 
  16855  0.333  1  2009  351  20.60  55183.054   74.8  7.953e+00 
  16856  1.000  3  2009  351  21.21  55183.079   74.8  1.864e+01 
  16857  0.333  1  2009  351  21.60  55183.095   74.8  1.192e+01 
  16858  0.667  2  2009  351  22.39  55183.128   74.8  1.595e+01 
  16859  0.667  2  2009  351  22.77  55183.145   74.9  1.529e+01 
  16860  0.667  2  2009  351  23.36  55183.169   74.9  1.829e+01 
  16861  0.667  2  2009  351  23.74  55183.185   74.9  1.863e+01 
  16862  0.667  2  2009  352   0.38  55183.212   74.9  1.069e+01 
  16863  0.667  2  2009  352   0.77  55183.228   74.9  1.140e+01 
  16902  1.000  3  2009  352  20.27  55184.040   75.1  1.606e+01 
  16903  0.333  1  2009  352  20.66  55184.056   75.1  1.222e+01 
  16904  1.000  3  2009  352  21.26  55184.081   75.1  1.387e+01 
  16905  0.333  1  2009  352  21.65  55184.098   75.1  1.242e+01 
  16906  0.333  1  2009  352  22.34  55184.126   75.1  6.512e+00 
  16907  1.000  3  2009  352  22.72  55184.142   75.1  1.003e+01 
  16908  0.667  2  2009  352  23.38  55184.170   75.1  1.081e+01 
  16909  0.667  2  2009  352  23.77  55184.186   75.1  8.960e+00 
  16910  0.667  2  2009  353   0.36  55184.211   75.1  1.115e+01 
  16911  0.667  2  2009  353   0.75  55184.227   75.1  1.239e+01 
  16912  0.333  1  2009  353   1.43  55184.255   75.1  8.399e+00 
  16913  0.333  1  2009  353   1.63  55184.263   75.1  8.683e+00 
  17048  0.500  1  2009  355  21.46  55187.090   75.6  1.421e+01 
  17050  0.500  1  2009  355  22.40  55187.129   75.6  1.447e+01 
  17051  1.000  2  2009  355  22.82  55187.146   75.6  1.160e+01 
  17055  0.667  1  2009  356   0.52  55187.217   75.6  1.201e+01 
  17056  2.667  1  2009  356   1.42  55187.255   75.6  6.811e+00 
  17059  0.667  1  2009  356   2.72  55187.309   75.6  9.650e+00 
  17060  1.333  2  2009  356   3.26  55187.331   75.6  8.592e+00 
  17061  0.667  1  2009  356   3.80  55187.354   75.6  1.119e+01 
  17095  0.400  1  2009  356  20.93  55188.068   75.6  1.997e+01 
  17099  1.000  2  2009  356  22.85  55188.148   75.6  1.068e+01 
  17100  0.500  1  2009  356  23.26  55188.165   75.6  8.177e+00 
  17101  1.022  2  2009  356  23.74  55188.185   75.6  1.278e+01 
  17102  0.522  1  2009  357   0.23  55188.205   75.6  1.482e+01 
  17103  1.044  2  2009  357   0.65  55188.223   75.6  1.585e+01 
  17105  0.400  1  2009  357   1.96  55188.277   75.6  1.036e+01 
  17106  0.333  1  2009  357   2.32  55188.292   75.6  1.322e+01 
  17107  1.000  2  2009  357   2.78  55188.311   75.6  1.014e+01 
  17108  0.667  1  2009  357   3.27  55188.332   75.6  1.120e+01 
  17109  0.667  1  2009  357   3.63  55188.347   75.6  9.602e+00 
  17143  0.500  1  2009  357  20.78  55189.062   75.7  1.006e+01 
  17144  1.000  2  2009  357  21.20  55189.079   75.7  9.076e+00 
  17145  1.000  2  2009  357  21.80  55189.104   75.7  1.504e+01 
  17146  0.500  1  2009  357  22.27  55189.124   75.7  1.103e+01 
  17147  1.000  2  2009  357  22.69  55189.141   75.7  1.388e+01 
  17148  1.000  2  2009  357  23.35  55189.169   75.7  1.221e+01 
  17149  0.500  1  2009  357  23.77  55189.186   75.7  1.388e+01 
  17150  0.500  1  2009  358   0.04  55189.197   75.7  1.588e+01 
  17152  1.000  2  2009  358   1.25  55189.248   75.8  1.088e+01 
  17153  1.000  2  2009  358   1.80  55189.271   75.8  1.246e+01 
  17154  1.000  2  2009  358   2.35  55189.294   75.8  8.369e+00 
  17155  0.333  1  2009  358   2.82  55189.313   75.8  9.709e+00 
  17156  1.000  2  2009  358   3.26  55189.331   75.8  9.124e+00 
  17157  0.667  1  2009  358   3.74  55189.351   75.8  9.379e+00 
  18107  2.000  1  2010   12  22.97  55209.153   79.3  1.406e+01 
  18110  2.000  1  2010   13   0.20  55209.204   79.3  1.316e+01 
  18112  1.000  1  2010   13   1.29  55209.249   79.3  1.112e+01 
  18113  1.000  1  2010   13   1.82  55209.271   79.3  1.322e+01 
  18163  1.000  1  2010   14   2.70  55210.308   79.4  1.306e+01 
  18164  1.000  1  2010   14   3.22  55210.330   79.4  9.221e+00 
  18253  2.000  1  2010   15  23.94  55212.193   79.3  7.962e+00 
  18255  1.000  1  2010   16   0.97  55212.236   79.3  1.381e+01 
  18256  1.000  1  2010   16   1.50  55212.258   79.3  1.895e+01 
  18258  1.000  1  2010   16   2.31  55212.292   79.3  1.160e+01 
  18259  1.000  1  2010   16   2.84  55212.314   79.3  1.595e+01 
  18297  0.333  1  2010   16  21.94  55213.110   79.2  1.367e+01 
  18298  0.667  2  2010   16  22.23  55213.122   79.2  1.728e+01 
  18299  0.333  1  2010   16  22.88  55213.149   79.2  1.316e+01 
  18300  0.667  2  2010   16  23.17  55213.161   79.2  1.343e+01 
  18301  0.333  1  2010   16  23.93  55213.193   79.2  2.033e+01 
  18302  0.667  2  2010   17   0.22  55213.205   79.2  1.213e+01 
  18304  1.000  1  2010   17   1.11  55213.242   79.2  8.617e+00 
  18305  1.000  1  2010   17   1.64  55213.264   79.2  1.327e+01 
  18306  1.000  1  2010   17   2.37  55213.294   79.2  1.373e+01 
  18307  1.000  1  2010   17   2.90  55213.316   79.2  1.491e+01 
  18448  0.442  1  2010   20   1.46  55216.257   79.2  1.612e+01 
  18487  1.014  1  2010   20  20.60  55217.054   79.1  1.844e+01 
  18488  1.014  1  2010   20  21.14  55217.076   79.1  2.087e+01 
  18490  1.005  1  2010   20  22.05  55217.114   79.1  1.360e+01 
  18491  1.005  1  2010   20  22.57  55217.136   79.1  1.407e+01 
  18492  0.894  1  2010   20  23.27  55217.165   79.1  1.194e+01 
  18493  0.894  1  2010   20  23.73  55217.184   79.1  1.353e+01 
  18494  0.894  1  2010   21   0.19  55217.204   79.1  1.596e+01 
  18495  0.894  1  2010   21   0.66  55217.223   79.1  1.496e+01 
  18496  1.005  1  2010   21   1.36  55217.252   79.1  1.038e+01 
  18497  1.005  1  2010   21   1.88  55217.274   79.1  1.155e+01 
  18498  1.005  1  2010   21   2.40  55217.296   79.1  1.285e+01 
  18499  1.005  1  2010   21   2.92  55217.317   79.1  1.017e+01 
  18500  0.672  1  2010   21   3.43  55217.338   79.1  1.216e+01 
  18501  0.672  1  2010   21   3.78  55217.353   79.1  1.043e+01 
  18541  0.916  1  2010   21  23.59  55218.178   79.0  1.101e+01 
  18542  0.916  1  2010   22   0.06  55218.198   79.0  1.008e+01 
  18543  0.467  1  2010   22   0.84  55218.231   79.0  8.896e+00 
  18544  0.933  2  2010   22   1.22  55218.247   79.0  1.175e+01 
  18545  0.933  2  2010   22   1.74  55218.268   79.0  1.471e+01 
  18546  0.933  2  2010   22   2.25  55218.289   79.0  1.594e+01 
  18547  0.467  1  2010   22   2.64  55218.305   79.0  1.148e+01 
  18548  0.933  2  2010   22   3.27  55218.332   79.0  1.738e+01 
  18549  0.933  2  2010   22   3.78  55218.353   79.0  1.851e+01 
  18550  0.467  1  2010   22   4.16  55218.369   79.0  2.248e+01 
  18588  0.467  1  2010   22  23.31  55219.167   78.9  2.006e+01 
  18589  0.933  2  2010   22  23.69  55219.183   78.9  1.387e+01 
  18590  0.933  2  2010   23   0.21  55219.204   78.9  1.698e+01 
  18591  0.467  1  2010   23   0.59  55219.220   78.9  1.778e+01 
  18592  1.666  1  2010   23   1.45  55219.256   78.9  1.758e+01 
  18594  1.666  1  2010   23   2.31  55219.292   78.9  1.139e+01 
  18596  0.933  2  2010   23   3.29  55219.333   78.9  1.522e+01 
  18597  0.933  2  2010   23   3.81  55219.354   78.9  1.781e+01 
  18598  0.467  1  2010   23   4.19  55219.370   78.9  1.265e+01 
  18638  2.017  1  2010   24   0.34  55220.210   78.9  7.584e+00 
  18640  2.017  1  2010   24   1.46  55220.256   78.9  1.058e+01 
  18643  2.017  1  2010   24   2.50  55220.300   78.9  1.037e+01 
  18645  2.017  1  2010   24   3.62  55220.346   78.9  9.632e+00 
  18694  0.467  1  2010   25   4.25  55221.373   79.0  1.557e+01 
  19158  0.649  1  2010   34  20.31  55231.042   81.1  1.127e+01 
  19159  0.649  1  2010   34  20.68  55231.057   81.1  2.011e+01 
  19160  0.649  1  2010   34  21.05  55231.072   81.1  1.883e+01 
  19161  0.649  1  2010   34  21.66  55231.098   81.1  2.272e+01 
  19352  0.793  2  2010   38  21.34  55235.085   81.4  2.259e+01 
  19353  0.793  2  2010   38  21.80  55235.104   81.4  1.912e+01 
  19356  1.500  1  2010   38  23.38  55235.170   81.4  8.253e+00 
  19358  1.500  1  2010   39   0.16  55235.202   81.4  9.707e+00 
  19359  1.500  1  2010   39   0.93  55235.235   81.4  1.035e+01 
  19361  1.500  1  2010   39   1.71  55235.267   81.4  1.057e+01 
  19411  1.424  1  2010   40   2.84  55236.314   81.5  2.259e+01 
  19413  1.424  1  2010   40   3.72  55236.351   81.5  2.496e+01 
  19497  0.333  1  2010   41  21.92  55238.109   81.9  8.355e+00 
  19498  0.667  2  2010   41  22.21  55238.121   81.9  1.452e+01 
  19507  0.998  1  2010   42   2.50  55238.300   82.0  1.423e+01 
  19508  0.998  1  2010   42   3.02  55238.322   82.0  1.098e+01 
  19509  0.998  1  2010   42   3.62  55238.346   82.0  1.198e+01 
  19510  0.998  1  2010   42   4.14  55238.368   82.0  1.613e+01 
  19592  1.298  2  2010   43  21.22  55240.080   82.6  1.344e+01 
  19593  0.649  1  2010   43  21.77  55240.103   82.6  1.324e+01 
  19594  0.649  1  2010   43  22.14  55240.118   82.6  1.373e+01 
  19687  1.500  1  2010   45  20.69  55242.058   82.9  6.926e+00 
  19688  0.667  1  2010   45  21.41  55242.088   82.9  1.267e+01 
  19690  1.500  1  2010   45  22.27  55242.124   82.9  8.949e+00 
  19692  1.167  1  2010   45  23.13  55242.159   82.9  1.056e+01 
  19694  1.500  1  2010   46   0.19  55242.203   82.9  1.162e+01 
  19695  1.500  1  2010   46   0.96  55242.236   82.9  9.041e+00 
  19697  1.500  1  2010   46   1.73  55242.268   82.9  9.913e+00 
  19699  1.167  1  2010   46   2.60  55242.304   82.9  1.122e+01 
