# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NaI0590 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  15716  2.000   1  2009  328   3.36  55159.336   72.1  5.405e+00 
  15750  0.833   1  2009  328  20.18  55160.037   72.1  5.100e+00 
  15751  0.833   1  2009  328  20.65  55160.056   72.1  4.394e+00 
  15752  0.833   1  2009  328  21.12  55160.075   72.1  4.316e+00 
  15753  0.833   1  2009  328  21.58  55160.095   72.1  5.382e+00 
  15754  0.556   1  2009  328  22.25  55160.123   72.1  5.905e+00 
  15755  1.111   2  2009  328  22.74  55160.143   72.1  6.437e+00 
  15756  0.428   1  2009  328  23.42  55160.171   72.1  5.920e+00 
  15757  0.856   2  2009  328  23.78  55160.186   72.0  6.213e+00 
  15758  0.856   2  2009  329   0.30  55160.208   72.0  6.253e+00 
  15759  0.856   2  2009  329   0.82  55160.230   72.0  6.688e+00 
  15760  0.428   1  2009  329   1.18  55160.245   72.0  6.736e+00 
  15761  0.444   1  2009  329   1.63  55160.263   72.0  7.268e+00 
  15762  0.889   2  2009  329   2.13  55160.284   72.0  8.011e+00 
  15763  0.889   2  2009  329   2.76  55160.311   72.0  7.979e+00 
  15764  0.889   2  2009  329   3.34  55160.335   72.0  6.946e+00 
  16229  1.000   1  2009  338  19.97  55170.028   72.6  4.942e+00 
  16230  1.000   1  2009  338  20.49  55170.050   72.6  4.138e+00 
  16232  1.000   1  2009  338  21.35  55170.085   72.6  3.388e+00 
  16233  1.000   1  2009  338  21.88  55170.107   72.6  2.158e+00 
  16235  1.000   1  2009  338  22.98  55170.153   72.6  2.913e+00 
  16237  1.000   1  2009  338  23.51  55170.175   72.6  2.840e+00 
