   Source_name        RA        Dec RegType  Major  Minor Theta Color reg_qual expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7378 60256   900.0 74.257921  -68.56432 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007378.fits          7378     550.55           16         1038
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7378 60256   900.0 74.257921  -68.56432 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007378.fits          7378     633.35           19         1038
    J0455–6830 73.903138 -68.510136 ellipse  29.61   29.2    80  blue     good   7379 60256   900.0 74.251534 -68.566102 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007379.fits          7379     501.18           15         1039
       SNR_N86 73.904167 -68.646389 ellipse  183.0  183.0     0  blue     good   7379 60256   900.0 74.251534 -68.566102 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007379.fits          7379     540.02           16         1039
    J0457–6823 74.373942 -68.393614 ellipse   98.0   57.0   135  blue     good   7379 60256   900.0 74.251534 -68.566102 1028004 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028004/60256/lvmSFrame-00007379.fits          7379     641.65           19         1039
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7547 60259   900.0 78.246834 -69.005165 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60259/lvmSFrame-00007547.fits          7547     701.62           45         1067
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7548 60259   900.0 78.267431 -69.010244 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60259/lvmSFrame-00007548.fits          7548     681.37           45         1068
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7549 60259   900.0  78.25538 -69.009652 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60259/lvmSFrame-00007549.fits          7549     684.57           45         1069
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7581 60260   900.0  78.25093 -69.002957 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60260/lvmSFrame-00007581.fits          7581     709.06           45         1086
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7582 60260   900.0 78.272968 -69.002244 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60260/lvmSFrame-00007582.fits          7582     709.76           45         1087
 SNR_B0513-692 78.298214 -69.199195 ellipse 149.51 102.45    55  blue     good   7583 60260   900.0 78.259381 -69.005841 1027984 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027984/60260/lvmSFrame-00007583.fits          7583     697.86           45         1088
