# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter NIR-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter NIR-arm spectra
# upix: upper pixel of bin in X-shooter NIR-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs   rdels    rds 
 1.11451   1999   2017  6869   1.131e+01  1.309e+01  4.332e+00  3.529e+00  7.876e-01    0.157  0.815  1.498e+01  8.532e+00   0.326  1.195 
 1.11562   2018   2036  6866   1.812e+02  1.841e+02  6.133e+01  3.210e+00  9.829e-01    0.016  1.078  1.649e+02  4.571e+01  -0.090  0.719 
 1.11674   2037   2054  6874   2.703e+01  2.886e+01  7.946e+00  2.538e+00  9.192e-01    0.068  1.439  1.043e+01  6.337e+00  -0.614  0.832 
 1.11786   2055   2073  6870   9.258e+00  9.975e+00  3.117e+00  3.508e+00  7.398e-01    0.077  0.779  1.432e+01  8.904e+00   0.548  1.406 
 1.11897   2074   2091  6869   6.340e+00  5.993e+00  2.004e+00  2.723e+00  6.876e-01   -0.055  0.477  1.125e+01  7.177e+00   0.775  1.147 
 1.12009   2092   2110  6868   8.459e+00  8.214e+00  2.698e+00  3.006e+00  7.321e-01   -0.029  0.735  1.231e+01  8.040e+00   0.455  1.389 
 1.12121   2111   2129  6871   2.965e+01  3.346e+01  1.105e+01  2.869e+00  9.210e-01    0.128  1.384  2.684e+01  1.099e+01  -0.095  1.209 
 1.12233   2130   2147  6855   2.767e+01  3.282e+01  1.098e+01  2.308e+00  9.343e-01    0.186  1.362  2.788e+01  1.090e+01   0.008  1.103 
 1.12346   2148   2166  6858   6.675e+00  6.672e+00  2.215e+00  2.871e+00  6.991e-01   -0.001  0.654  1.132e+01  7.947e+00   0.694  1.439 
 1.12458   2167   2185  6866   7.600e+00  8.739e+00  2.811e+00  3.015e+00  7.435e-01    0.150  0.778  1.205e+01  8.445e+00   0.585  1.415 
 1.12571   2186   2204  6865   6.935e+00  6.538e+00  2.068e+00  2.174e+00  7.505e-01   -0.057  0.597  9.107e+00  6.184e+00   0.314  1.205 
 1.12683   2205   2222  6872   2.366e+01  2.382e+01  6.611e+00  3.111e+00  8.845e-01    0.007  1.386  1.278e+01  8.465e+00  -0.460  1.215 
 1.12796   2223   2241  6870   2.725e+01  2.565e+01  7.519e+00  2.773e+00  9.024e-01   -0.059  1.273  1.672e+01  8.391e+00  -0.386  1.106 
 1.12909   2242   2260  6864   2.494e+02  2.687e+02  8.143e+01  2.551e+00  9.906e-01    0.077  1.167  1.689e+02  4.462e+01  -0.322  0.545 
 1.13021   2261   2279  6868   1.847e+02  1.869e+02  5.760e+01  3.265e+00  9.828e-01    0.012  1.064  1.398e+02  3.963e+01  -0.243  0.658 
 1.13135   2280   2298  6871   4.010e+02  3.922e+02  1.204e+02  3.633e+00  9.908e-01   -0.022  1.058  3.818e+02  1.015e+02  -0.048  0.793 
 1.13248   2299   2317  6869   7.193e+02  7.299e+02  1.972e+02  3.149e+00  9.957e-01    0.015  1.006  7.379e+02  1.927e+02   0.026  0.858 
 1.13361   2318   2335  6867   9.640e+00  7.529e+00  2.365e+00  2.255e+00  7.695e-01   -0.219  0.576  1.027e+01  5.743e+00   0.067  1.136 
 1.13474   2336   2354  6867   4.649e+02  4.617e+02  1.203e+02  1.531e+00  9.967e-01   -0.007  1.033  4.934e+02  1.306e+02   0.062  0.938 
 1.13588   2355   2373  6873   3.499e+01  3.952e+01  1.055e+01  2.974e+00  9.300e-01    0.129  0.903  1.495e+01  7.542e+00  -0.573  0.798 
 1.13701   2374   2392  6858   8.550e+01  8.696e+01  2.334e+01  3.459e+00  9.617e-01    0.017  1.148  9.530e+01  2.954e+01   0.115  1.075 
 1.13815   2393   2411  6872   7.050e+01  7.675e+01  2.083e+01  3.312e+00  9.586e-01    0.089  1.383  1.851e+01  8.129e+00  -0.737  0.433 
 1.13929   2412   2430  6874   2.859e+01  3.024e+01  8.519e+00  3.428e+00  8.982e-01    0.058  1.420  1.728e+01  8.048e+00  -0.396  0.974 
 1.14043   2431   2449  6867   9.979e+00  8.878e+00  2.969e+00  3.334e+00  7.270e-01   -0.110  0.835  1.631e+01  7.763e+00   0.635  1.087 
 1.14157   2450   2468  6869   1.250e+01  1.216e+01  3.798e+00  3.236e+00  7.899e-01   -0.027  1.080  1.571e+01  7.521e+00   0.257  1.180 
 1.14271   2469   2487  6871   3.437e+01  3.544e+01  9.752e+00  3.720e+00  9.050e-01    0.031  1.397  1.805e+01  8.694e+00  -0.475  0.904 
