# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# List of lines/multiplets/features with measured X-shooter/UVES time series
# that were used for the derivation of the PALACE reference climatologies
# (includes results from noll+19, noll+23, and noll+24)
# 
# Column names:
# feat: label of line/multiplet/feature
# lam: central vacuum wavelength in µm (source: HITRAN2020 for molecules,
#      NIST for atoms, or noll+24 for continuum features)
# dlam: distance from lam to lower und upper wavelength limit in µm
#       (multiplet: defined by distribution of component wavelengths,
#       continuum feature: defined by integration range)
# Nlin: number of components (99 for continuum feature)
# I: reference intensity from climatology in R
# class: label of variability class
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# NIST: https://physics.nist.gov/asd
# noll+19: https://doi.org/10.1029/2018JD030044 (only KI0770)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH at > 1.005 µm)
# noll+24: https://doi.org/10.5194/acp-24-1143-2024 (continuum features)
# 
      feat       lam      dlam  Nlin           I  class 
  OH85Q103  1.294318  0.000043     2   3.960e+02   OH9a 
  OH85Q104  1.297213  0.000079     2   1.126e+02   OH9b 
  OH85P201  1.298565  0.000010     2   6.421e+02   OH9a 
  OH85P101  1.302164  0.000009     2   2.086e+03   OH9a 
  OH85P202  1.305274  0.000006     2   9.156e+02   OH9a 
  OH85P102  1.308527  0.000018     2   2.462e+03   OH9a 
  OH85P203  1.312782  0.000000     2   8.189e+02   OH9a 
  OH85P103  1.315680  0.000029     2   1.945e+03   OH9a 
  OH85P204  1.321085  0.000008     2   5.912e+02   OH9b 
  OH85P104  1.323652  0.000041     2   1.188e+03   OH9b 
  OH85P205  1.330191  0.000017     2   3.325e+02   OH9b 
  OH85P105  1.332469  0.000055     2   6.125e+02   OH9b 
  OH85P206  1.340124  0.000028     2   2.051e+02   OH9b 
  OH96P102  1.402222  0.000019     2   2.350e+03   OH9a 
  OH20R104  1.408671  0.000024     2   9.367e+02   OH3b 
  OH96P103  1.410270  0.000031     2   1.793e+03   OH9a 
  OH20R103  1.413400  0.000019     2   1.950e+03   OH3a 
  OH20R102  1.418606  0.000012     2   2.557e+03   OH3a 
  OH20Q201  1.434200  0.000031     2   7.832e+02   OH3a 
  OH20Q102  1.435672  0.000039     2   2.425e+03   OH3a 
  OH20P101  1.451896  0.000016     2   5.539e+03   OH3a 
  OH20P202  1.456398  0.000004     2   2.062e+03   OH3a 
  OH20P102  1.460483  0.000029     2   5.553e+03   OH3a 
  OH20P203  1.466507  0.000008     2   1.463e+03   OH3a 
  OH20P103  1.469844  0.000044     2   3.624e+03   OH3a 
  OH31R105  1.474001  0.000029     2   6.968e+02   OH3b 
  OH31R205  1.475559  0.000016     2   2.981e+02   OH3b 
  OH20P204  1.477239  0.000020     2   7.824e+02   OH3b 
  OH31R104  1.478374  0.000025     2   1.543e+03   OH3b 
  OH20P104  1.479983  0.000059     2   1.651e+03   OH3b 
  OH31R204  1.480579  0.000009     2   7.243e+02   OH3b 
  OH31R103  1.483309  0.000019     2   3.177e+03   OH3a 
  OH31R203  1.486440  0.000000     2   1.331e+03   OH3a 
  OH31R102  1.488770  0.000012     2   4.269e+03   OH3a 
  OH20P105  1.490903  0.000075     2   5.677e+02   OH3b 
  OH31R202  1.493188  0.000009     2   1.500e+03   OH3a 
  OH20P206  1.500674  0.000048     2   1.180e+02   OH3b 
  OH31Q101  1.505555  0.000011     2   1.162e+04   OH3a 
  OH31Q102  1.506897  0.000039     2   3.760e+03   OH3a 
  OH31Q103  1.508827  0.000088     2   1.005e+03   OH3a 
  OH20P207  1.513443  0.000062     2   4.518e+01   OH4c 
   HO2f15a  1.517915  0.032509    99   1.419e+03    HO2 
  OH31P201  1.518714  0.000013     2   2.610e+03   OH3a 
  OH31P101  1.524095  0.000017     2   8.647e+03   OH3a 
  OH31P202  1.528779  0.000004     2   3.286e+03   OH3a 
  OH31P102  1.533240  0.000030     2   9.068e+03   OH3a 
  OH31P103  1.543216  0.000046     2   6.082e+03   OH3a 
  OH42R106  1.546213  0.000032     2   2.421e+02   OH5b 
  OH42R206  1.547422  0.000023     2   1.568e+02   OH5b 
  OH42R105  1.550086  0.000029     2   7.147e+02   OH5b 
  OH31P204  1.550977  0.000021     2   1.393e+03   OH3b 
  OH42R205  1.551788  0.000017     2   4.482e+02   OH5b 
  OH31P104  1.554033  0.000062     2   3.116e+03   OH3b 
  OH42R104  1.554614  0.000025     2   1.925e+03   OH5b 
  OH42R204  1.557016  0.000009     2   9.119e+02   OH5b 
  OH42R103  1.559763  0.000019     2   3.718e+03   OH5a 
  OH42R202  1.570254  0.000009     2   1.762e+03   OH5a 
  OH31P206  1.576033  0.000050     2   2.552e+02   OH3b 
  OH31P106  1.578213  0.000097     2   4.096e+02   OH3b 
  OH42Q101  1.583327  0.000011     2   1.280e+04   OH5a 
  OH42Q102  1.584806  0.000040     2   4.332e+03   OH5a 
  OH42Q103  1.586931  0.000090     2   1.270e+03   OH5a 
  OH31P107  1.591592  0.000116     2   1.632e+02   OH4c 
  OH42P201  1.597260  0.000014     2   2.893e+03   OH5a 
  OH42P101  1.603083  0.000017     2   9.653e+03   OH5a 
  OH31P208  1.604209  0.000082     2   9.112e+01   OH4c 
  OH42P202  1.607975  0.000005     2   3.706e+03   OH5a 
  OH42P102  1.612861  0.000032     2   1.040e+04   OH5a 
  OH42P203  1.619462  0.000007     2   3.008e+03   OH5a 
  OH31P109  1.621006  0.000156     2   1.156e+02   OH6d 
  OH42P103  1.623538  0.000048     2   7.106e+03   OH5a 
  OH53R207  1.627973  0.000028     2   1.012e+02   OH4c 
  OH42P204  1.631716  0.000021     2   1.804e+03   OH5b 
  OH53R105  1.634176  0.000029     2   8.580e+02   OH5b 
