# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra with atmospheric extinction for the total emission
# and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: air wavelength in µm
# f{species}: flux in R/nm with atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam     fall    dfall      fOH     dfOH      fO2     dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3076     2.02     0.83     0.00     0.00     1.71     0.69   0.11   0.05  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3077     2.03     0.83     0.00     0.00     1.71     0.69   0.11   0.05  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3078     2.03     0.83     0.00     0.00     1.71     0.69   0.11   0.05  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3079     2.02     0.83     0.00     0.00     1.71     0.69   0.11   0.05  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3080     2.03     0.83     0.00     0.00     1.71     0.69   0.11   0.05  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3081     2.04     0.84     0.00     0.00     1.72     0.69   0.11   0.06  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3082     2.06     0.84     0.00     0.00     1.74     0.70   0.11   0.06  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3083     2.08     0.86     0.00     0.00     1.76     0.71   0.11   0.06  0.21   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3084     2.11     0.86     0.00     0.00     1.78     0.71   0.11   0.06  0.22   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3085     2.12     0.87     0.00     0.00     1.78     0.72   0.11   0.06  0.22   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3086     2.12     0.87     0.00     0.00     1.79     0.72   0.11   0.06  0.22   0.09   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
