# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter UVB-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter UVB-arm spectra
# upix: upper pixel of bin in X-shooter UVB-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs    rdels    rds 
 0.32493   1293   1308  6849   2.795e+00  3.723e+00  1.326e+00  1.534e+00  7.082e-01    0.332  0.786  3.422e+00  2.136e+00    0.224  1.222 
 0.32525   1309   1324  6852   3.174e+00  3.959e+00  1.411e+00  1.642e+00  7.068e-01    0.247  0.817  3.524e+00  2.193e+00    0.110  1.226 
 0.32558   1325   1341  6857   4.100e+00  4.157e+00  1.482e+00  1.810e+00  6.967e-01    0.014  0.787  3.536e+00  2.193e+00   -0.138  1.127 
 0.32590   1342   1357  6862   6.145e+00  5.473e+00  1.956e+00  2.007e+00  7.317e-01   -0.109  0.857  4.481e+00  2.339e+00   -0.271  0.986 
 0.32623   1358   1373  6859   5.897e+00  5.866e+00  2.098e+00  2.067e+00  7.395e-01   -0.005  0.943  4.720e+00  2.368e+00   -0.200  1.020 
 0.32656   1374   1389  6858   5.242e+00  5.942e+00  2.125e+00  2.027e+00  7.456e-01    0.134  0.987  4.788e+00  2.410e+00   -0.087  1.075 
 0.32688   1390   1406  6860   5.368e+00  5.090e+00  1.818e+00  2.063e+00  7.116e-01   -0.052  0.827  4.241e+00  2.355e+00   -0.210  1.030 
 0.32721   1407   1422  6851   4.533e+00  5.269e+00  1.883e+00  1.957e+00  7.292e-01    0.162  0.912  4.615e+00  2.443e+00    0.018  1.135 
 0.32754   1423   1438  6858   4.564e+00  4.757e+00  1.698e+00  1.987e+00  7.054e-01    0.042  0.818  4.384e+00  2.326e+00   -0.040  1.078 
 0.32786   1439   1455  6855   2.912e+00  3.788e+00  1.349e+00  1.842e+00  6.728e-01    0.301  0.702  3.561e+00  2.153e+00    0.223  1.088 
 0.32819   1456   1471  6857   3.976e+00  5.586e+00  1.997e+00  1.843e+00  7.519e-01    0.405  0.950  4.813e+00  2.314e+00    0.210  1.055 
 0.32852   1472   1488  6863   5.845e+00  5.633e+00  2.014e+00  1.886e+00  7.491e-01   -0.036  0.826  4.231e+00  2.282e+00   -0.276  0.900 
 0.32885   1489   1504  6859   5.182e+00  6.543e+00  2.342e+00  1.914e+00  7.737e-01    0.262  0.999  4.661e+00  2.332e+00   -0.101  0.965 
 0.32918   1505   1521  6862   7.320e+00  6.332e+00  2.265e+00  2.196e+00  7.425e-01   -0.135  0.813  4.232e+00  2.306e+00   -0.422  0.795 
 0.32951   1522   1537  6867   9.039e+00  7.680e+00  2.752e+00  2.294e+00  7.700e-01   -0.150  0.852  5.239e+00  2.490e+00   -0.420  0.741 
 0.32984   1538   1554  6868   8.714e+00  8.456e+00  3.032e+00  2.296e+00  7.865e-01   -0.030  0.952  5.935e+00  2.648e+00   -0.319  0.796 
 0.33017   1555   1570  6860   6.630e+00  7.653e+00  2.743e+00  2.203e+00  7.765e-01    0.154  1.015  5.540e+00  2.574e+00   -0.164  0.918 
 0.33050   1571   1587  6860   5.533e+00  6.309e+00  2.258e+00  2.006e+00  7.588e-01    0.140  0.898  4.621e+00  2.307e+00   -0.165  0.888 
 0.33083   1588   1603  6856   4.271e+00  5.855e+00  2.093e+00  1.910e+00  7.540e-01    0.371  0.902  4.116e+00  2.231e+00   -0.037  0.944 
 0.33116   1604   1620  6862   6.181e+00  7.057e+00  2.528e+00  1.977e+00  7.812e-01    0.142  0.999  4.934e+00  2.295e+00   -0.202  0.877 
 0.33149   1621   1636  6861   6.960e+00  6.651e+00  2.381e+00  1.974e+00  7.712e-01   -0.044  0.884  4.272e+00  2.239e+00   -0.386  0.794 
 0.33182   1637   1653  6865   8.019e+00  6.478e+00  2.318e+00  2.031e+00  7.613e-01   -0.192  0.817  4.180e+00  2.265e+00   -0.479  0.758 
 0.33215   1654   1669  6855   5.936e+00  5.985e+00  2.140e+00  2.055e+00  7.444e-01    0.008  0.877  3.846e+00  2.228e+00   -0.352  0.874 
 0.33248   1670   1686  6863   6.322e+00  6.198e+00  2.217e+00  2.039e+00  7.525e-01   -0.020  0.898  4.313e+00  2.286e+00   -0.318  0.884 
 0.33282   1687   1703  6855   4.271e+00  5.607e+00  2.004e+00  2.050e+00  7.323e-01    0.313  0.950  4.373e+00  2.264e+00    0.024  1.024 
