# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra without atmospheric extinction for the total
# emission and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: vacuum wavelength in µm
# f{species}: flux in R/nm without atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam      fall     dfall      fOH     dfOH       fO2      dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3093      3.98      1.63     0.00     0.00      3.35      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3094      3.97      1.63     0.00     0.00      3.35      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3095      3.97      1.63     0.00     0.00      3.34      1.35   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3096      3.97      1.63     0.00     0.00      3.34      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3097      3.96      1.63     0.00     0.00      3.34      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3098      3.96      1.62     0.00     0.00      3.33      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3099      3.96      1.62     0.00     0.00      3.33      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3100      3.95      1.62     0.00     0.00      3.32      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3101      3.95      1.62     0.00     0.00      3.32      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3102      3.94      1.62     0.00     0.00      3.32      1.34   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3103      3.94      1.62     0.00     0.00      3.31      1.33   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3104      3.94      1.62     0.00     0.00      3.31      1.33   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3105      3.93      1.61     0.00     0.00      3.31      1.33   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3106      3.93      1.61     0.00     0.00      3.30      1.33   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3107      3.93      1.61     0.00     0.00      3.30      1.33   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3108      3.92      1.61     0.00     0.00      3.30      1.33   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3109      3.92      1.61     0.00     0.00      3.29      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3110      3.92      1.61     0.00     0.00      3.29      1.32   0.21   0.11  0.41   0.18   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
